Genome,,Strain,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Pseudomonas aeruginosa,UCBPP-,UCBPP-PA14,fig:208963.12.peg.1907,PA14_23460,VBIPseAer79785_1907,PATRIC.208963.12.NC_008463.CDS.2040149.2041165.fwd,PATRIC,CDS,2040149,2041165,1017,+,FIG01955782,PLF_286_00001745,PGF_00780840,YP_790031.1,338,orfN,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4443,fig:287.12440.peg.2191,,,PATRIC.287.12440.287.12440.con.0003.CDS.515154.516194.rev,PATRIC,CDS,515154,516194,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4411,fig:287.12441.peg.40,,,PATRIC.287.12441.287.12441.con.0001.CDS.43148.44173.fwd,PATRIC,CDS,43148,44173,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4433,fig:287.12442.peg.1629,,,PATRIC.287.12442.287.12442.con.0004.CDS.38784.39803.fwd,PATRIC,CDS,38784,39803,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4418,fig:287.12443.peg.1059,,,PATRIC.287.12443.287.12443.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4438,fig:287.12444.peg.891,,,PATRIC.287.12444.287.12444.con.0002.CDS.40353.41393.fwd,PATRIC,CDS,40353,41393,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4489,fig:287.12445.peg.38,,,PATRIC.287.12445.287.12445.con.0001.CDS.42113.43129.fwd,PATRIC,CDS,42113,43129,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4446,fig:287.12446.peg.790,,,PATRIC.287.12446.287.12446.con.0001.CDS.806454.807494.rev,PATRIC,CDS,806454,807494,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4602,fig:287.12447.peg.1043,,,PATRIC.287.12447.287.12447.con.0002.CDS.449075.450100.rev,PATRIC,CDS,449075,450100,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4549,fig:287.12449.peg.639,,,PATRIC.287.12449.287.12449.con.0002.CDS.43148.44173.fwd,PATRIC,CDS,43148,44173,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4560,fig:287.12450.peg.766,,,PATRIC.287.12450.287.12450.con.0002.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4528,fig:287.12451.peg.1615,,,PATRIC.287.12451.287.12451.con.0003.CDS.431282.432307.rev,PATRIC,CDS,431282,432307,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4548,fig:287.12452.peg.1531,,,PATRIC.287.12452.287.12452.con.0003.CDS.449170.450195.rev,PATRIC,CDS,449170,450195,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4509,fig:287.12453.peg.890,,,PATRIC.287.12453.287.12453.con.0002.CDS.40353.41393.fwd,PATRIC,CDS,40353,41393,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4591,fig:287.12454.peg.41,,,PATRIC.287.12454.287.12454.con.0001.CDS.46467.47486.fwd,PATRIC,CDS,46467,47486,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4520,fig:287.12455.peg.1133,,,PATRIC.287.12455.287.12455.con.0003.CDS.40245.41264.fwd,PATRIC,CDS,40245,41264,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4704,fig:287.12456.peg.2414,,,PATRIC.287.12456.287.12456.con.0004.CDS.439884.440909.rev,PATRIC,CDS,439884,440909,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4703,fig:287.12457.peg.38,,,PATRIC.287.12457.287.12457.con.0001.CDS.40352.41392.fwd,PATRIC,CDS,40352,41392,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4755,fig:287.12458.peg.2425,,,PATRIC.287.12458.287.12458.con.0005.CDS.43154.44179.fwd,PATRIC,CDS,43154,44179,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4745,fig:287.12459.peg.1526,,,PATRIC.287.12459.287.12459.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH4757,fig:287.12460.peg.995,,,PATRIC.287.12460.287.12460.con.0003.CDS.197.1213.fwd,PATRIC,CDS,197,1213,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
